student_id,query_index,query_type
11620,1,
11620,2,follow_up
11505,1,targeted
11505,2,follow_up
11505,3,follow_up
11505,4,follow_up
11505,5,high_delegation
11505,6,validation
11505,7,targeted
11505,8,task_clarification
11505,9,high_delegation
11505,10,targeted
11505,11,
11505,12,follow_up
11505,13,high_delegation
11505,14,high_delegation
11505,15,high_delegation
11505,16,conceptual
11505,17,follow_up
11507,1,task_clarification
11507,2,targeted
11507,3,high_delegation
11507,4,high_delegation
11507,5,high_delegation
11507,6,high_delegation
11507,7,follow_up
11507,8,follow_up
11507,9,targeted
11509,1,conceptual
11509,2,high_delegation
11509,3,conceptual
11509,4,high_delegation
11509,5,conceptual
11517,1,conceptual
11517,2,
11517,3,conceptual
11517,4,follow_up
11517,5,targeted
11517,6,high_delegation
11517,7,
11519,1,conceptual
11519,2,
11519,3,task_clarification
11519,4,high_delegation
11519,5,conceptual
11519,6,targeted
11519,7,high_delegation
11519,8,high_delegation
11519,9,task_clarification
11521,1,high_delegation
11521,2,
11527,1,targeted
11527,2,
11527,3,follow_up
11529,1,conceptual
11529,2,conceptual
11529,3,follow_up
11512,1,
11512,2,targeted
11512,3,targeted
11513,1,task_clarification
11513,2,conceptual
11513,3,
11513,4,task_clarification
11513,5,follow_up
11514,1,
11514,2,task_clarification
11514,3,
11514,4,follow_up
11516,1,task_clarification
11516,2,targeted
11516,3,follow_up
11516,4,follow_up
11522,1,conceptual
11522,2,follow_up
11522,3,follow_up
11522,4,Unknown
11522,5,follow_up
11522,6,Unknown
11522,7,follow_up
11522,8,follow_up
11522,9,follow_up
11522,10,targeted
11522,11,Unknown
11522,12,Unknown
11523,1,conceptual
11523,2,conceptual
11523,3,targeted
11523,4,follow_up
11523,5,high_delegation
11528,1,conceptual
11528,2,follow_up
11533,1,conceptual
11535,1,task_clarification
11535,2,task_clarification
11535,3,high_delegation
11535,4,high_delegation
11534,1,high_delegation
11534,2,follow_up
11534,3,high_delegation
11534,4,
11534,5,high_delegation
11534,6,task_clarification
11534,7,high_delegation
11536,1,
11536,2,targeted
11536,3,
11536,4,follow_up
11536,5,follow_up
11536,6,follow_up
11537,1,
11537,2,follow_up
11537,3,follow_up
11537,4,high_delegation
11537,5,follow_up
11541,1,conceptual
11544,1,task_clarification
11544,2,task_clarification
11545,1,task_clarification
11545,2,conceptual
11545,3,targeted
11545,4,targeted
11545,5,follow_up
11545,6,validation
11545,7,high_delegation
11546,1,conceptual
11549,1,task_clarification
11550,1,task_clarification
11554,1,conceptual
11554,2,high_delegation
11556,1,
11556,2,task_clarification
11556,3,
11556,4,task_clarification
11556,5,follow_up
11556,6,follow_up
11556,7,
11556,8,validation
11558,1,high_delegation
11558,2,
11558,3,conceptual
11559,1,task_clarification
11559,2,conceptual
11562,1,task_clarification
11562,2,follow_up
11562,3,follow_up
11562,4,follow_up
11562,5,validation
11562,6,targeted
11562,7,high_delegation
11562,8,targeted
11562,9,high_delegation
11562,10,follow_up
11565,1,conceptual
11565,2,follow_up
11565,3,high_delegation
11565,4,follow_up
11565,5,follow_up
11565,6,follow_up
11565,7,high_delegation
11565,8,task_clarification
11565,9,high_delegation
11565,10,high_delegation
11565,11,conceptual
11565,12,high_delegation
11565,13,high_delegation
11565,14,high_delegation
11566,1,conceptual
11566,2,targeted
11566,3,follow_up
11566,4,follow_up
11566,5,
11566,6,follow_up
11567,1,conceptual
11567,2,conceptual
11567,3,
11567,4,conceptual
11567,5,conceptual
11568,1,
11568,2,follow_up
11568,3,targeted
11571,1,task_clarification
11573,1,high_delegation
11573,2,high_delegation
11575,1,
11575,2,follow_up
11575,3,follow_up
11575,4,follow_up
11577,1,Unknown
11577,2,follow_up
11543,1,conceptual
11543,2,targeted
11543,3,follow_up
11543,4,follow_up
11543,5,high_delegation
11543,6,follow_up
11543,7,follow_up
11543,8,conceptual
11543,9,
11543,10,follow_up
11543,11,follow_up
11543,12,high_delegation
11543,13,follow_up
11543,14,follow_up
11543,15,high_delegation
11543,16,high_delegation
11543,17,high_delegation
11543,18,
11543,19,follow_up
11543,20,high_delegation
11543,21,follow_up
11586,1,high_delegation
11586,2,follow_up
11586,3,follow_up
11587,1,task_clarification
11587,2,follow_up
11587,3,follow_up
11587,4,follow_up
11587,5,follow_up
11587,6,high_delegation
11588,1,
11588,2,follow_up
11588,3,follow_up
11588,4,high_delegation
11589,1,Unknown
11589,2,targeted
11590,1,conceptual
11590,2,follow_up
11590,3,follow_up
11590,4,conceptual
11590,5,targeted
11590,6,follow_up
11590,7,conceptual
11591,1,high_delegation
11591,2,high_delegation
11591,3,high_delegation
11591,4,follow_up
11591,5,high_delegation
11591,6,high_delegation
11592,1,high_delegation
11595,1,high_delegation
11595,2,high_delegation
11595,3,high_delegation
11595,4,high_delegation
11595,5,high_delegation
11595,6,targeted
11595,7,follow_up
11595,8,targeted
11595,9,targeted
11595,10,validation
11595,11,conceptual
11595,12,follow_up
11595,13,task_clarification
11595,14,
11595,15,follow_up
11596,1,conceptual
11597,1,conceptual
11597,2,task_clarification
11597,3,targeted
11597,4,conceptual
11597,5,follow_up
11600,1,Unknown
11604,1,task_clarification
11604,2,validation
11604,3,task_clarification
11480,1,
11480,2,follow_up
11480,3,
11480,4,high_delegation
11483,1,Unknown
11484,1,
11484,2,conceptual
11485,1,
11485,2,follow_up
11485,3,
11485,4,
11487,1,targeted
11487,2,targeted
11487,3,task_clarification
11487,4,follow_up
11489,1,
11489,2,follow_up
11489,3,task_clarification
11489,4,targeted
11491,1,conceptual
11491,2,
11491,3,follow_up
11491,4,
11493,1,high_delegation
11493,2,conceptual
11494,1,
11494,2,task_clarification
11494,3,validation
11498,1,conceptual
11498,2,follow_up
11498,3,follow_up
11498,4,conceptual
11499,1,conceptual
11500,1,task_clarification
11500,2,task_clarification
11500,3,high_delegation
11500,4,high_delegation
11501,1,conceptual
11501,2,Unknown
11501,3,task_clarification
11502,1,
11502,2,follow_up
11616,1,task_clarification
11617,1,
11617,2,high_delegation
11617,3,follow_up
11617,4,high_delegation
11617,5,targeted
11617,6,follow_up
11619,1,high_delegation
11619,2,high_delegation
11619,3,follow_up
11619,4,high_delegation
11619,5,follow_up
11619,6,follow_up
11619,7,follow_up
11619,8,high_delegation
11619,9,high_delegation
11619,10,follow_up
11619,11,follow_up
11619,12,follow_up
11619,13,follow_up
11630,1,conceptual
11630,2,conceptual
11631,1,conceptual
11631,2,conceptual
11631,3,high_delegation
11631,4,conceptual
11631,5,high_delegation
11631,6,follow_up
11631,7,high_delegation
11631,8,
11632,1,conceptual
11632,2,task_clarification
11632,3,
11632,4,targeted
11632,5,targeted
11635,1,validation
11635,2,validation
11635,3,
11635,4,targeted
11635,5,
11657,1,high_delegation
11664,1,conceptual
11664,2,follow_up
11664,3,follow_up
11664,4,task_clarification
11664,5,high_delegation
11664,6,Unknown
11664,7,follow_up
11664,8,high_delegation
11664,9,high_delegation
11664,10,high_delegation
11664,11,follow_up
11664,12,Unknown
11664,13,Unknown
11671,1,task_clarification
11671,2,conceptual
11671,3,high_delegation
11671,4,follow_up
11671,5,follow_up
11671,6,targeted
11671,7,follow_up
11671,8,follow_up
11642,1,task_clarification
11642,2,follow_up
11658,1,task_clarification
11613,1,high_delegation
11613,2,task_clarification
11613,3,high_delegation
11613,4,targeted
11613,5,targeted
11612,1,conceptual
11612,2,high_delegation
11622,1,conceptual
11622,2,follow_up
11622,3,follow_up
11622,4,follow_up
11622,5,follow_up
11622,6,follow_up
11624,1,conceptual
11624,2,follow_up
11624,3,follow_up
11624,4,
11624,5,high_delegation
11624,6,follow_up
11626,1,
11626,2,follow_up
11626,3,follow_up
11627,1,task_clarification
11627,2,high_delegation
11627,3,task_clarification
11627,4,
11627,5,high_delegation
11636,1,conceptual
11636,2,follow_up
11636,3,
11636,4,
11636,5,follow_up
11636,6,
11636,7,follow_up
11645,1,high_delegation
11647,1,task_clarification
11496,1,high_delegation
11496,2,follow_up
11496,3,high_delegation
11496,4,high_delegation
11496,5,high_delegation
11653,1,task_clarification
11665,1,high_delegation
11665,2,task_clarification
11666,1,task_clarification
11666,2,high_delegation
11666,3,validation
11666,4,high_delegation
11668,1,high_delegation
11668,2,task_clarification
11668,3,follow_up
11668,4,high_delegation
11663,1,
11663,2,
11663,3,follow_up
11663,4,follow_up